epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4418.86,1.10587,0.34436,0.00533,0.99389,0.9949,0.99484,0.72561,1.04328,0.25633,0.00749,0.0019293,0.0019293,0.0019293
43,4523.39,1.11008,0.3451,0.00535,0.9871,0.99022,0.99218,0.72435,1.03791,0.26485,0.00747,0.0018843,0.0018843,0.0018843
44,4627.98,1.10453,0.34629,0.00526,0.99441,0.989,0.99397,0.72357,1.04181,0.26707,0.00744,0.00183894,0.00183894,0.00183894
45,4732.56,1.1054,0.34252,0.00535,0.99022,0.99041,0.99402,0.72322,1.04387,0.25789,0.00751,0.00179326,0.00179326,0.00179326
46,4837.29,1.08954,0.3386,0.00536,0.98899,0.98861,0.99385,0.72425,1.04564,0.26464,0.00751,0.00174731,0.00174731,0.00174731
47,4942.23,1.08557,0.33554,0.00515,0.98783,0.99227,0.99423,0.72546,1.05492,0.26296,0.00754,0.00170112,0.00170112,0.00170112
48,5046.8,1.0993,0.34034,0.00538,0.99218,0.989,0.99386,0.72659,1.04714,0.26139,0.00752,0.00165475,0.00165475,0.00165475
49,5151.65,1.08327,0.33611,0.00524,0.99218,0.99267,0.99416,0.72461,1.04475,0.25679,0.00749,0.00160824,0.00160824,0.00160824
50,5256.22,1.09351,0.33282,0.00523,0.99069,0.99756,0.99476,0.72708,1.04047,0.25525,0.0075,0.00156164,0.00156164,0.00156164
51,5361.08,1.06934,0.32897,0.00525,0.98663,0.99198,0.99303,0.72472,1.05247,0.27299,0.00757,0.001515,0.001515,0.001515
52,5465.75,1.07915,0.33283,0.00521,0.98902,0.99108,0.99453,0.72562,1.04609,0.25801,0.00749,0.00146836,0.00146836,0.00146836
53,5569.94,1.07595,0.31977,0.00518,0.99297,0.99511,0.99408,0.7282,1.04015,0.2534,0.00751,0.00142176,0.00142176,0.00142176
54,5674.57,1.06662,0.31709,0.0052,0.99423,0.99389,0.99475,0.71985,1.05736,0.25735,0.00756,0.00137525,0.00137525,0.00137525
55,5778.86,1.0567,0.31854,0.00507,0.99266,0.99183,0.99484,0.7256,1.04161,0.25571,0.0075,0.00132888,0.00132888,0.00132888
56,5883.17,1.06296,0.31978,0.00518,0.99511,0.99478,0.99416,0.72212,1.03638,0.25796,0.00742,0.00128269,0.00128269,0.00128269
57,5987.44,1.05785,0.31606,0.00518,0.99509,0.99111,0.99495,0.7249,1.04322,0.25682,0.00739,0.00123674,0.00123674,0.00123674
58,6091.69,1.05764,0.322,0.00513,0.99388,0.99278,0.99491,0.73194,1.02654,0.24974,0.00736,0.00119106,0.00119106,0.00119106
59,6195.95,1.05598,0.31354,0.00496,0.99387,0.99132,0.99429,0.72533,1.04274,0.25531,0.0075,0.0011457,0.0011457,0.0011457
60,6300.23,1.05041,0.30942,0.00501,0.99466,0.99756,0.9949,0.72608,1.03382,0.24744,0.0074,0.0011007,0.0011007,0.0011007
61,6404.17,1.03813,0.30823,0.00495,0.99448,0.99144,0.99426,0.7267,1.0379,0.25264,0.00741,0.00105611,0.00105611,0.00105611
62,6507.96,1.04652,0.31071,0.00506,0.99633,0.99612,0.9949,0.72522,1.03442,0.24818,0.0074,0.00101197,0.00101197,0.00101197
63,6611.96,1.05234,0.31484,0.00509,0.99027,0.99561,0.99461,0.72666,1.03949,0.25217,0.00742,0.000968335,0.000968335,0.000968335
64,6715.61,1.04339,0.3058,0.00503,0.99269,0.9961,0.99428,0.72932,1.03215,0.24884,0.0074,0.000925235,0.000925235,0.000925235
65,6819.97,1.03548,0.31251,0.00498,0.99755,0.99739,0.99424,0.73108,1.03433,0.24591,0.00736,0.000882718,0.000882718,0.000882718
66,6924.5,1.01493,0.30056,0.00489,0.99755,0.99546,0.99481,0.73212,1.0233,0.24589,0.00731,0.000840824,0.000840824,0.000840824
67,7029.32,1.02738,0.30231,0.0049,0.98907,0.99551,0.99409,0.72738,1.03328,0.2564,0.00735,0.000799596,0.000799596,0.000799596
68,7133.47,1.0193,0.30147,0.0049,0.99727,0.99511,0.99449,0.7307,1.0286,0.24716,0.00737,0.000759073,0.000759073,0.000759073
69,7237.85,1.01747,0.29853,0.00486,0.99511,0.99501,0.99389,0.72927,1.0301,0.25189,0.00737,0.000719297,0.000719297,0.000719297
70,7342.53,1.01856,0.29448,0.00477,0.99029,0.99732,0.99329,0.7277,1.02932,0.25065,0.00733,0.000680306,0.000680306,0.000680306
71,7447,1.01788,0.30522,0.0049,0.99386,0.98879,0.99442,0.7333,1.02433,0.25196,0.00731,0.000642139,0.000642139,0.000642139
72,7551.46,1.00488,0.29635,0.00483,0.99338,0.99389,0.99467,0.73132,1.0294,0.24911,0.00734,0.000604833,0.000604833,0.000604833
73,7655.84,0.99905,0.28835,0.00482,0.99388,0.99325,0.99474,0.73129,1.02935,0.24921,0.00732,0.000568425,0.000568425,0.000568425
74,7760.3,1.01043,0.28901,0.00491,0.99219,0.99511,0.99486,0.72802,1.02794,0.24668,0.00732,0.000532952,0.000532952,0.000532952
75,7864.52,1.0084,0.29911,0.00482,0.99755,0.99747,0.99481,0.72882,1.02334,0.24361,0.00727,0.000498448,0.000498448,0.000498448
76,7968.66,1.00545,0.29106,0.00476,0.99269,0.99651,0.99483,0.7313,1.02535,0.24574,0.0073,0.000464946,0.000464946,0.000464946
77,8073.42,0.99146,0.28517,0.00477,0.99633,0.99601,0.9949,0.7318,1.02392,0.24401,0.00728,0.000432482,0.000432482,0.000432482
78,8177.95,0.99754,0.29515,0.00473,0.99239,0.99511,0.99455,0.72929,1.02844,0.24846,0.00732,0.000401085,0.000401085,0.000401085
79,8282.76,0.99625,0.29168,0.00485,0.99755,0.99447,0.99474,0.72943,1.02718,0.24913,0.00731,0.000370788,0.000370788,0.000370788
80,8387.23,0.99139,0.28673,0.00478,0.99613,0.99756,0.9948,0.73104,1.02617,0.24574,0.0073,0.00034162,0.00034162,0.00034162
81,8491.16,0.98371,0.28728,0.00469,0.99633,0.99595,0.99489,0.73203,1.0259,0.24578,0.00731,0.00031361,0.00031361,0.00031361
82,8595.16,0.98388,0.28601,0.00467,0.99391,0.99741,0.9949,0.73389,1.02354,0.24455,0.00729,0.000286785,0.000286785,0.000286785
83,8699.54,0.9905,0.28871,0.00472,0.99582,0.99511,0.99491,0.73414,1.02355,0.24658,0.00728,0.000261173,0.000261173,0.000261173
84,8803.48,0.99211,0.29383,0.00474,0.9926,0.99389,0.99483,0.7321,1.02243,0.2501,0.00727,0.000236798,0.000236798,0.000236798
85,8907.49,0.98189,0.28088,0.00474,0.99511,0.99498,0.99484,0.73384,1.02195,0.24501,0.00727,0.000213685,0.000213685,0.000213685
86,9011.17,0.98976,0.28929,0.00472,0.99266,0.99633,0.99468,0.73221,1.01926,0.24519,0.00725,0.000191855,0.000191855,0.000191855
87,9114.97,0.97596,0.27995,0.00471,0.9938,0.99633,0.9949,0.73521,1.02072,0.24503,0.00726,0.000171332,0.000171332,0.000171332
88,9219.09,0.98711,0.28366,0.00471,0.99617,0.99633,0.99491,0.7323,1.02549,0.24376,0.00729,0.000152134,0.000152134,0.000152134
89,9322.73,0.97091,0.28035,0.00466,0.99486,0.99756,0.9949,0.73225,1.02736,0.24462,0.00729,0.000134282,0.000134282,0.000134282
90,9426.35,0.97474,0.28148,0.00469,0.99391,0.9971,0.99489,0.73239,1.02625,0.24496,0.00729,0.000117792,0.000117792,0.000117792
91,9530.42,0.98129,0.28636,0.00475,0.99633,0.99511,0.99488,0.73024,1.02753,0.24446,0.0073,0.000102681,0.000102681,0.000102681
92,9634.33,0.98451,0.28384,0.00463,0.99512,0.99674,0.99488,0.73284,1.02537,0.24463,0.00729,8.89639e-05,8.89639e-05,8.89639e-05
93,9738.6,0.978,0.28506,0.00466,0.99502,0.99756,0.99488,0.7295,1.029,0.24529,0.0073,7.6654e-05,7.6654e-05,7.6654e-05
94,9842.99,0.97199,0.27682,0.00464,0.99582,0.99511,0.99486,0.72984,1.02883,0.24627,0.0073,6.57636e-05,6.57636e-05,6.57636e-05
95,9947.55,0.97477,0.28361,0.00472,0.9945,0.99756,0.99489,0.7315,1.02774,0.24368,0.0073,5.63034e-05,5.63034e-05,5.63034e-05
96,10051.6,0.95631,0.25126,0.00562,0.9951,0.99362,0.99462,0.73083,1.02955,0.24991,0.00733,4.82828e-05,4.82828e-05,4.82828e-05
97,10154.8,0.93998,0.24519,0.00556,0.9951,0.99263,0.9947,0.73017,1.02845,0.25076,0.00733,4.17097e-05,4.17097e-05,4.17097e-05
98,10257.8,0.95017,0.24993,0.0055,0.99389,0.99497,0.9948,0.73064,1.02606,0.24946,0.00731,3.65905e-05,3.65905e-05,3.65905e-05
99,10360.7,0.93537,0.24131,0.00555,0.99464,0.99756,0.99481,0.72913,1.02911,0.24893,0.00732,3.29303e-05,3.29303e-05,3.29303e-05
100,10462.9,0.93534,0.245,0.00553,0.99498,0.99633,0.99462,0.73184,1.02709,0.24514,0.00731,3.07328e-05,3.07328e-05,3.07328e-05
